movie_title,genre,MPAA_rating,total_gross,adjusted_gross,year
The Sorcerer's Apprentice,Adventure,PG,63150991,67473105,2010
Step Up 3D,Drama,PG-13,42400223,45302137,2010
Gedo Senki (Tales from Earthsea),Adventure,PG-13,48658,51988,2010
You Again,Comedy,PG,25702053,27461121,2010
Secretariat,Drama,PG,59699513,63781920,2010
Tangled,Adventure,PG,200821936,214388548,2010
Tron: Legacy,Adventure,PG,172062763,183619259,2010
Gnomeo and Juliet,Comedy,G,99967670,106270797,2011
I am Number Four,Adventure,PG-13,55100437,58574607,2011
Mars Needs Moms,Adventure,PG,21392758,22741603,2011
African Cats,Documentary,G,15428747,16401551,2011
Zokkomon,Adventure,PG,2815,2984,2011
Prom,Comedy,PG,10130219,10768946,2011
Pirates of the Caribbean: On Stranger…,Adventure,PG-13,241063875,256263359,2011
Cars 2,Adventure,G,191450875,203522177,2011
Winnie the Pooh,Adventure,G,26692846,28375869,2011
The Help,Drama,PG-13,169705587,180404976,2011
Fright Night,Horror,R,18298649,19452402,2011
Real Steel,Action,PG-13,85463309,90848019,2011
The Muppets,Comedy,PG,88625922,94189503,2011
War Horse,Drama,PG-13,79883359,84762149,2011
The Secret World of Arietty,Adventure,G,19192510,20325733,2012
John Carter,Adventure,PG-13,73058679,77372445,2012
Chimpanzee,Documentary,G,28965459,30675725,2012
The Avengers,Action,PG-13,623279547,660081224,2012
Brave,Adventure,PG,237282182,251292441,2012
People Like Us,Drama,PG-13,12431792,13165822,2012
The Odd Life of Timothy Green,Drama,PG,51853450,54914942,2012
Frankenweenie,Comedy,PG,35287788,37363513,2012
Wreck-It Ralph,Adventure,PG,189412677,200354959,2012
Lincoln,Drama,PG-13,182207973,192122330,2012
Oz the Great and Powerful,Adventure,PG,234770996,243434130,2013
Iron Man 3,Action,PG-13,408992272,424084233,2013
Monsters University,Adventure,G,268488329,278395641,2013
The Lone Ranger,Western,PG-13,89302115,92597388,2013
Disney Planes,Comedy,PG,90282580,93614037,2013
The Fifth Estate,Drama,R,3254172,3374251,2013
Thor: The Dark World,Adventure,PG-13,206362140,213962184,2013
Kaze Tachinu,Drama,PG-13,5201879,5367415,2013
Frozen,Adventure,PG,400738009,414997174,2013
Delivery Man,Comedy,PG-13,30659817,31787136,2013
Saving Mr. Banks,Drama,PG-13,83299761,86249969,2013
Need for Speed,Action,PG-13,43568507,44955015,2014
Muppets Most Wanted,Comedy,PG,51178893,52807594,2014
Captain America: The Winter Soldier,Action,PG-13,259746958,268013076,2014
Bears,Documentary,G,17780194,18346024,2014
Million Dollar Arm,Drama,PG,36447959,37607865,2014
Maleficent,Adventure,PG,241407328,249089809,2014
Planes: Fire and Rescue,Adventure,PG,59157732,61040349,2014
Guardians of the Galaxy,Adventure,PG-13,333172112,343771168,2014
The Hundred-Foot Journey,Romantic Comedy,PG,54235441,55961409,2014
"Alexander and the Terrible, Horrible,…",Comedy,PG,66954149,69055550,2014
Big Hero 6,Adventure,PG,222527828,229249222,2014
Into the Woods,Musical,PG,128002372,130894237,2014
Strange Magic,Adventure,PG,12429583,12429583,2015
"McFarland, USA",Drama,PG,44480275,44480275,2015
Cinderella (2015),Drama,PG,201151353,201151353,2015
Monkey Kingdom,Documentary,G,16432322,16432322,2015
Avengers: Age of Ultron,Action,PG-13,459005868,459005868,2015
Tomorrowland,Adventure,PG,93436322,93436322,2015
Inside Out,Adventure,PG,356461711,356461711,2015
Ant-Man,Action,PG-13,180202163,180202163,2015
Bridge of Spies,Thriller/Suspense,PG-13,72313754,72313754,2015
The Good Dinosaur,Adventure,PG,123087120,123087120,2015
Star Wars Ep. VII: The Force Awakens,Adventure,PG-13,936662225,936662225,2015
The Finest Hours,Thriller/Suspense,PG,27569558,27569558,2016
Zootopia,Adventure,PG,341268248,341268248,2016
The Jungle Book (2016),Adventure,PG,364001123,364001123,2016
A Beautiful Planet,Documentary,G,7895708,7895708,2016
Captain America: Civil War,Action,PG-13,408084349,408084349,2016
Alice Through the Looking Glass,Adventure,PG,77042381,77042381,2016
Finding Dory,Adventure,PG,486295561,486295561,2016
The BFG,Adventure,PG,55483770,55483770,2016
Pete’s Dragon,Adventure,PG,76233151,76233151,2016
The Light Between Oceans,Drama,PG-13,12545979,12545979,2016
Queen of Katwe,Drama,PG,8874389,8874389,2016
Doctor Strange,Adventure,PG-13,232532923,232532923,2016
Moana,Adventure,PG,246082029,246082029,2016
Rogue One: A Star Wars Story,Adventure,PG-13,529483936,529483936,2016
