movie_title,genre,MPAA_rating,total_gross,adjusted_gross,year
Blame it on the Bellboy,Comedy,PG-13,2891055,5872667,1992
Noises Off...,Comedy,PG-13,2280148,4631720,1992
Straight Talk,Comedy,PG,21202099,43068356,1992
Newsies,,PG,2706352,5497481,1992
Passed Away,,PG-13,4030793,8187848,1992
Encino Man,Comedy,PG,40057130,81369058,1992
Sister Act,Comedy,PG,139605150,283583472,1992
Honey I Blew Up the Kid,Comedy,PG,58662452,119162518,1992
A Stranger Among Us,Drama,PG-13,12282994,24950752,1992
3 Ninjas,Action,PG,29028000,58965304,1992
A Gun in Betty Lou's Handbag,,PG-13,3591460,7295423,1992
Captain Ron,Comedy,PG-13,22518097,45741576,1992
Sarafina!,Drama,PG-13,7306242,14841352,1992
Innocent Blood,Horror,R,4877567,9907922,1992
The Mighty Ducks,Comedy,PG,50752337,103120810,1992
1492: Conquest of Paradise,Adventure,PG-13,7099531,14421454,1992
Consenting Adults,Drama,R,21591728,43859823,1992
Aladdin,Comedy,G,217350219,441969178,1992
The Distinguished Gentleman,Comedy,R,46434570,94349900,1992
The Muppet Christmas Carol,Comedy,G,27281507,55417615,1992
Alive,Adventure,R,36299670,73914543,1993
Aspen Extreme,Romantic Comedy,PG-13,7843388,15970955,1993
Homeward Bound: The Incredible Journey,Adventure,G,41833324,85182343,1993
The Cemetery Club,Comedy,PG-13,5583621,11369541,1993
Swing Kids,Musical,PG-13,5632086,11468231,1993
A Far Off Place,Adventure,PG,12890752,26248558,1993
Born Yesterday,Romantic Comedy,PG,17760754,36165012,1993
The Adventures of Huck Finn,Adventure,PG,24103594,49080505,1993
Bound by Honor,,R,4496583,9156084,1993
Indian Summer,Comedy,R,14717851,29968953,1993
Super Mario Bros.,Action,PG,20844907,42445058,1993
Guilty as Sin,Thriller/Suspense,R,22622537,46064723,1993
Life With Mikey,Comedy,PG,12349549,25146538,1993
What's Love Got to Do With It,Drama,R,39100956,79618610,1993
Son in Law,Comedy,PG-13,25989889,52921433,1993
Hocus Pocus,Comedy,PG,39360491,80147079,1993
Another Stakeout,Comedy,PG-13,20107504,40943541,1993
My Boyfriend's Back,,PG-13,3218882,6554384,1993
Father Hood,,PG-13,3268203,6654819,1993
The Joy Luck Club,Drama,R,32790064,66768171,1993
Money for Nothing,Comedy,R,1044824,2127496,1993
The Program,Action,R,23042200,46919256,1993
Cool Runnings,Comedy,PG,68856263,140392731,1993
The Nightmare Before Christmas,Musical,PG,50408318,100026637,1993
The Three Musketeers,Adventure,PG,53661805,109310377,1993
Sister Act 2 Back in the Habit,Comedy,PG,57319029,116965668,1993
Tombstone,Western,R,56505065,115781734,1993
The Air Up There,Comedy,PG,20782439,42940186,1994
Cabin Boy,Comedy,PG-13,3469493,7168577,1994
Iron Will,Drama,PG,20623071,42610902,1994
Red Rock West,,R,2502551,5170709,1994
Blank Check,Comedy,PG,30573770,63170804,1994
Angie,Comedy,R,9252349,19116981,1994
The Ref,Comedy,R,11325885,23401275,1994
D2: The Mighty Ducks,Comedy,PG,45604206,94226333,1994
Holy Matrimony,Comedy,,713234,1473665,1994
White Fang 2: Myth of the White Wolf,Adventure,PG,8752399,18083994,1994
The Inkwell,Comedy,R,8864699,18316030,1994
When a Man Loves a Woman,Drama,R,50021959,103354194,1994
3 Ninjas Kick Back,Action,PG,11744960,24267154,1994
Renaissance Man,Comedy,PG-13,24172899,49945474,1994
The Lion King,Adventure,G,422780140,761640898,1994
I Love Trouble,Romantic Comedy,PG,30806194,63651027,1994
Angels in the Outfield,Comedy,PG,50236831,103798152,1994
In the Army Now,Comedy,PG,28881266,59673787,1994
Color of Night,Thriller/Suspense,R,19750470,40804816,1994
Camp Nowhere,Comedy,PG,10442641,21576332,1994
It's Pat,Comedy,,60822,125666,1994
A Simple Twist of Fate,Drama,PG-13,3404935,7035189,1994
Quiz Show,Drama,PG-13,24787282,50840394,1994
Terminal Velocity,Action,PG-13,16478900,34048315,1994
Ed Wood,Comedy,R,5828466,12042634,1994
The Puppet Masters,Horror,R,8579626,17727017,1994
Squanto: A Warrior's Tale,Drama,PG,3319344,6858345,1994
The Santa Clause,Comedy,PG,144833357,298369717,1994
A Low Down Dirty Shame,Action,R,29317886,60321919,1994
The Jungle Book (1994),Adventure,PG,44342956,88930321,1994
Houseguest,Comedy,PG,26325256,51016522,1995
Bad Company (1995),Thriller/Suspense,R,3523909,6829092,1995
Miami Rhapsody,Romantic Comedy,PG-13,5086578,9857435,1995
The Jerky Boys,Comedy,R,7555256,14641561,1995
Heavy Weights,Comedy,PG,17671310,34245779,1995
Man of the House,Comedy,PG,40029009,77573459,1995
Roommates,Comedy,PG,12076989,23404369,1995
Tall Tale,Western,PG,8247627,15983331,1995
A Pyromaniac's Love Story,Romantic Comedy,PG,468240,907414,1995
Jefferson in Paris,Drama,PG-13,2461628,4770461,1995
Funny Bones,Comedy,R,529135,1025425,1995
A Goofy Movie,Comedy,G,35336439,68479579,1995
While You Were Sleeping,Romantic Comedy,PG,81057016,157082900,1995
Crimson Tide,Action,R,91387195,177102077,1995
Mad Love,Drama,PG-13,15446532,29934306,1995
Pocahontas,Adventure,G,141579773,274370957,1995
Judge Dredd,Action,R,34687912,67222776,1995
Operation Dumbo Drop,Adventure,PG,24670346,47809421,1995
Dangerous Minds,Drama,R,84919401,164552293,1995
A Kid in King Arthur's Court,Adventure,PG,13406717,25981285,1995
The Tie That Binds,Thriller/Suspense,R,5762795,11167895,1995
Unstrung Heroes,Drama,PG,7929000,15365850,1995
The Big Green,Comedy,PG,17736619,34372339,1995
Dead Presidents,Drama,R,24120194,46741467,1995
The Scarlet Letter,Drama,R,10359006,20075033,1995
Feast of July,Drama,R,293274,568342,1995
Powder,Drama,PG-13,30833914,59727216,1995
Toy Story,Adventure,G,191796233,370409631,1995
Father of the Bride Part II,Comedy,PG,76578911,147658438,1995
Nixon,Drama,R,13668249,26302005,1995
Tom and Huck,Adventure,PG,23837227,45911517,1995
Mr. Holland's Opus,Drama,PG,82582604,157508868,1995
White Squall,Adventure,PG-13,10229300,19509726,1996
Muppet Treasure Island,Adventure,G,34327391,65470567,1996
Mr. Wrong,Romantic Comedy,PG-13,12805071,24422334,1996
Before and After,Drama,PG-13,8642118,16482589,1996
Up Close & Personal,Drama,PG-13,51045801,97356578,1996
Homeward Bound II: Lost in San Franc…,Adventure,G,32709423,62384706,1996
Two Much,Romantic Comedy,PG-13,1078555,2057055,1996
Un indien dans la ville,Comedy,PG,1029731,1963937,1996
James and the Giant Peach,Adventure,PG,28921264,55159783,1996
Celtic Pride,Comedy,PG-13,9240378,17623615,1996
Last Dance,Drama,R,5857534,11171714,1996
Boys,Drama,PG-13,21930418,41826566,1996
Spy Hard,Comedy,PG-13,26936265,51373912,1996
Eddie,Comedy,PG-13,31369401,59828966,1996
The Rock,Action,R,134069511,255702705,1996
The Hunchback of Notre Dame,Adventure,G,100138851,190988799,1996
Phenomenon,Drama,PG,104636382,199559799,1996
Kazaam,Comedy,PG,18880508,36009655,1996
Jack,Drama,PG-13,58617334,111792852,1996
First Kid,Comedy,PG,26465920,50465108,1996
The Rich Man's Wife,Thriller/Suspense,R,8538318,16284619,1996
D3: The Mighty Ducks,Comedy,PG,22936273,43713554,1996
The Associate,Comedy,PG-13,12772657,24333094,1996
Ransom,Action,R,136492681,259807820,1996
The War at Home,,R,34368,65543,1996
101 Dalmatians (1996),Comedy,G,136189294,258728898,1996
The Preacher's Wife,Drama,PG,48102795,91076877,1996
Evita,Musical,PG,50047179,92077628,1996
Metro,Action,R,32017895,58804106,1997
Prefontaine,Drama,PG-13,590817,1085093,1997
Shadow Conspiracy,Thriller/Suspense,R,2154540,3957025,1997
That Darn Cat,Comedy,PG,18301828,33613158,1997
Jungle 2 Jungle,Comedy,PG,59925026,110058379,1997
The Sixth Man,Comedy,PG-13,14765099,27117599,1997
Grosse Pointe Blank,Black Comedy,R,28084357,51579764,1997
Romy and Michele's High School Reunion,Comedy,R,29235353,53693680,1997
Gone Fishin',Comedy,PG,19745922,36265379,1997
Con Air,Action,R,101117573,185712664,1997
Hercules,Adventure,G,99112101,182029412,1997
George Of The Jungle,Comedy,PG,105263257,193326632,1997
Nothing To Lose,Comedy,R,44480039,81692095,1997
Air Bud,Comedy,PG,24646936,45266588,1997
G.I. Jane,Drama,R,48169156,88467531,1997
A Thousand Acres,Drama,R,7928412,14561324,1997
Washington Square,Drama,PG,1775644,3257546,1997
Rocket Man,Comedy,PG,15448043,28371890,1997
Playing God,Thriller/Suspense,R,4166918,7652965,1997
Flubber,Comedy,PG,92993801,170406423,1997
An American Werewolf in Paris,Horror,R,26570463,48546161,1997
Mr. Magoo,Comedy,PG,21437192,39145784,1997
Kundun,Drama,PG-13,5686694,10236836,1997
Deep Rising,Action,R,11203026,20136775,1998
Krippendorf's Tribe,Comedy,PG-13,7571115,13608633,1998
An Alan Smithee Film: Burn Hollywood …,Comedy,R,45779,82277,1998
Meet the Deedles,Comedy,PG,4356126,7829877,1998
He Got Game,Drama,R,21567853,38766948,1998
The Horse Whisperer,Drama,PG-13,75383563,135497531,1998
"Six Days, Seven Nights",Romantic Comedy,PG-13,74339294,133620516,1998
Mulan,Adventure,G,120620254,216807832,1998
Armageddon,Adventure,PG-13,201578182,362324957,1998
Jane Austen's Mafia,Comedy,PG-13,19843795,35668055,1998
The Parent Trap,Comedy,PG,66308518,119185667,1998
Firelight,Drama,R,784419,1409943,1998
Simon Birch,Drama,PG,18253415,32809442,1998
Holy Man,Comedy,PG,12069719,21694605,1998
Beloved,Drama,R,22852487,41062682,1998
The Waterboy,Comedy,PG-13,161491646,288691833,1998
I'll Be Home For Christmas,Comedy,PG,12214338,21941840,1998
A Bug's Life,Adventure,G,162798565,288981698,1998
Enemy of the State,Action,R,111549836,198472008,1998
Rushmore,Black Comedy,R,17105219,28392518,1998
A Civil Action,Drama,PG-13,56709981,94139530,1998
Mighty Joe Young,Adventure,PG,50632037,87906042,1998
My Favorite Martian,Comedy,PG,36850101,61150849,1999
The Other Sister,Romantic Comedy,PG-13,27807627,46145331,1999
Doug's 1st Movie,Adventure,G,19421271,32228598,1999
Ten Things I Hate About You,Romantic Comedy,PG-13,38177966,63354375,1999
Endurance,,PG,229128,380218,1999
Instinct,Drama,R,34105207,56595842,1999
Tarzan,Adventure,G,171091819,283900254,1999
Summer of Sam,Drama,R,19288130,32007656,1999
Inspector Gadget,Comedy,PG,97387965,161610341,1999
The Sixth Sense,Thriller/Suspense,PG-13,293506292,485424724,1999
The 13th Warrior,Action,R,32698899,54262148,1999
Breakfast of Champions,Comedy,R,178287,295851,1999
Mumford,Comedy,R,4559569,7566363,1999
"Mystery, Alaska",Comedy,R,8891623,14755189,1999
The Straight Story,Drama,G,6197866,10111144,1999
The Insider,Drama,R,28965197,47794214,1999
Toy Story 2,Adventure,G,245852179,404450426,1999
Cradle Will Rock,Drama,R,2899970,4609153,1999
Deuce Bigalow: Male Gigolo,Comedy,R,65535067,106921374,1999
Bicentennial Man,Drama,PG,58220776,94838225,1999
Play it to the Bone,Comedy,R,8427204,13180524,1999
Fantasia 2000 (IMAX),Musical,G,60507228,94852354,2000
Gun Shy,Comedy,R,1638202,2562155,2000
The Tigger Movie,Adventure,G,45542421,71228678,2000
Mission to Mars,Adventure,PG,60874615,95208344,2000
High Fidelity,Comedy,R,27277055,42661516,2000
Keeping the Faith,Romantic Comedy,PG-13,37036404,57925202,2000
Dinosaur,Adventure,PG,137748063,215438985,2000
Shanghai Noon,Western,PG-13,56932305,89042541,2000
Gone in 60 Seconds,Action,PG-13,101643008,158970411,2000
Fantasia 2000 (Theatrical Release),Musical,G,9103630,14238144,2000
The Kid,Comedy,PG,69688384,108993148,2000
Coyote Ugly,Drama,PG-13,60786269,95070168,2000
The Crew,Comedy,PG-13,13019253,20362201,2000
Duets,Drama,R,4734235,7404372,2000
Remember the Titans,Drama,PG,115654751,180742479,2000
Unbreakable,Thriller/Suspense,PG-13,94999143,148208901,2000
102 Dalmatians,Comedy,G,66941559,104055039,2000
The Emperor's New Groove,Adventure,G,89296573,136789252,2000
"O Brother, Where Art Thou?",Comedy,PG-13,45506619,67922002,2000
Double Take,Action,PG-13,29823162,44418589,2001
Recess: School's Out,Comedy,G,36696761,54656124,2001
Just Visiting,Comedy,PG-13,4777007,7114869,2001
Pearl Harbor,Action,PG-13,198539855,295705112,2001
Atlantis: The Lost Empire,Adventure,PG,84052762,125188122,2001
crazy/beautiful,Drama,PG-13,16929123,25214223,2001
The Princess Diaries,Comedy,G,108244774,161218928,2001
Bubble Boy,Comedy,PG-13,5002310,7450434,2001
Max Keeble's Big Move,Comedy,PG,17292381,25749730,2001
Corky Romano,Comedy,PG-13,23978402,35705805,2001
High Heels and Low Lifes,,R,226792,337782,2001
"Monsters, Inc.",Adventure,G,289423425,416073179,2001
Out Cold,Comedy,PG-13,13906394,20700691,2001
The Royal Tenenbaums,Black Comedy,R,52353636,76758193,2001
Beauty and the Beast (IMAX),Musical,G,25487028,36980311,2002
Frank McKlusky C.I.,,,0,0,2002
Snow Dogs,Comedy,PG,81150692,117745317,2002
The Count of Monte Cristo,Drama,PG-13,54228104,78682079,2002
Peter Pan: Return to Neverland,Adventure,G,48430258,70269715,2002
Reign of Fire,Action,PG-13,43061982,62480631,2002
Sorority Boys,Comedy,R,10198766,14797862,2002
The Rookie,Drama,G,75600072,109691666,2002
Big Trouble,Comedy,PG-13,7262288,10537188,2002
ESPN's Ultimate X - The Movie,Documentary,PG,4197175,6089874,2002
Bad Company (2002),Action,PG-13,30157016,43756218,2002
Lilo & Stitch,Adventure,PG,145771527,211506702,2002
The Country Bears,Adventure,G,16988996,24650121,2002
Signs,Thriller/Suspense,PG-13,227965690,330754439,2002
Sen to Chihiro no Kamikakushi,Adventure,PG,10049886,14338992,2002
Sweet Home Alabama,Comedy,PG-13,127214072,184521151,2002
Moonlight Mile,Drama,PG-13,6830957,9909094,2002
Tuck Everlasting,Drama,PG,19161999,27789959,2002
The Santa Clause 2,Comedy,G,139225854,201959095,2002
Treasure Planet,Adventure,PG,38120554,55189145,2002
The Hot Chick,Comedy,PG-13,35081550,50624654,2002
25th Hour,Drama,R,13084595,18325463,2002
The Recruit,Thriller/Suspense,PG-13,52784696,73793522,2003
Shanghai Knights,Adventure,PG-13,60470220,84537962,2003
The Jungle Book 2,Adventure,G,47901582,66966883,2003
Bringing Down the House,Comedy,PG-13,132675402,185481530,2003
Piglet's Big Movie,Comedy,G,23103423,32298812,2003
Ghosts of the Abyss,Documentary,G,17093668,23803108,2003
Holes,Drama,PG,67383924,94203395,2003
The Lizzie McGuire Movie,Comedy,PG,42734455,59743191,2003
Finding Nemo,Adventure,G,380529370,518148559,2003
Pirates of the Caribbean: The Curse o…,Adventure,PG-13,305411224,426967926,2003
Freaky Friday (2003),Comedy,PG,110222438,154090360,2003
Open Range,Western,R,58331254,81547672,2003
Cold Creek Manor,Thriller/Suspense,R,21384035,29895090,2003
Under the Tuscan Sun,Comedy,PG-13,43601508,60944053,2003
Veronica Guerin,Drama,R,1569918,2194759,2003
Brother Bear,Adventure,G,85336277,119218333,2003
The Haunted Mansion,Comedy,PG,75817994,105775678,2003
Calendar Girls,Comedy,PG-13,31011616,42379650,2003
Young Black Stallion,Adventure,G,6751389,9254344,2003
Teacher's Pet: The Movie,Comedy,PG,6491969,8812764,2004
Miracle,Drama,PG,64378093,87392478,2004
Confessions of a Teenage Drama Queen,Comedy,PG,29331068,39816568,2004
Hidalgo,Western,PG-13,67286731,91340921,2004
The Ladykillers,Comedy,R,39692139,53881593,2004
Home on the Range,Comedy,PG,50026353,67910166,2004
The Alamo,Western,PG-13,22406362,30416359,2004
Raising Helen,Comedy,PG-13,37485528,50886144,2004
Around the World in 80 Days,Adventure,PG,24004159,32585356,2004
America's Heart and Soul,Documentary,Not Rated,314000,426246,2004
King Arthur,Adventure,PG-13,51877963,70423706,2004
The Village,Thriller/Suspense,PG-13,114197520,155021748,2004
The Princess Diaries 2: Royal Engagement,Romantic Comedy,G,95149435,129164207,2004
Mr. 3000,Comedy,PG-13,21800302,29593641,2004
